城市,值
北京市,1376
天津市,1082
石家庄市,422
唐山市,335
秦皇岛市,146
邯郸市,365
邢台市,91
保定市,288
张家口市,156
承德市,60
沧州市,58
廊坊市,88
衡水市,99
太原市,293
大同市,177
阳泉市,70
长治市,75
晋城市,40
朔州市,68
晋中市,63
运城市,70
忻州市,55
临汾市,82
吕梁市,29
呼和浩特市,138
包头市,156
乌海市,44
赤峰市,127
通辽市,84
鄂尔多斯市,30
呼伦贝尔市,37
巴彦淖尔市,52
乌兰察布市,31
沈阳市,601
大连市,400
鞍山市,148
抚顺市,136
本溪市,89
丹东市,78
锦州市,95
营口市,94
阜新市,74
辽阳市,85
盘锦市,103
铁岭市,43
朝阳市,61
葫芦岛市,97
长春市,442
吉林市,180
四平市,68
辽源市,45
通化市,43
白山市,53
松原市,56
白城市,49
哈尔滨市,551
齐齐哈尔市,132
鸡西市,78
鹤岗市,61
双鸭山市,47
大庆市,137
伊春市,73
佳木斯市,76
七台河市,47
牡丹江市,87
黑河市,18
绥化市,84
南京市,697
无锡市,263
徐州市,342
常州市,303
苏州市,364
南通市,215
连云港市,224
淮安市,333
盐城市,244
扬州市,233
镇江市,103
泰州市,164
宿迁市,177
杭州市,635
宁波市,296
温州市,172
嘉兴市,92
湖州市,112
绍兴市,223
金华市,99
衢州市,85
舟山市,71
台州市,163
丽水市,41
合肥市,281
芜湖市,150
蚌埠市,116
淮南市,182
马鞍山市,82
淮北市,105
铜陵市,74
安庆市,74
黄山市,46
滁州市,56
阜阳市,230
宿州市,192
六安市,220
亳州市,168
池州市,67
宣城市,86
福州市,285
厦门市,243
莆田市,243
三明市,28
泉州市,116
漳州市,63
南平市,86
龙岩市,106
宁德市,51
南昌市,311
景德镇市,48
萍乡市,89
九江市,100
新余市,90
赣州市,228
吉安市,60
宜春市,116
抚州市,171
上饶市,142
济南市,554
青岛市,518
淄博市,289
麥庄市,247
东营市,113
烟台市,192
潍坊市,194
济宁市,189
泰安市,172
威海市,136
日照市,139
莱芜市,129
临沂市,281
德州市,125
聊城市,128
滨州市,110
荷泽市,236
郑州市,384
开封市,171
洛阳市,207
平顶山市,111
安阳市,118
鹤壁市,65
新乡市,109
焦作市,75
濮阳市,75
许昌市,134
深河市,134
三门峡市,63
南阳市,203
商丘市,188
信阳市,157
周口市,64
驻马店市,85
武汉市,884
黄石市,135
十堰市,119
宜昌市,127
襄阳市,228
鄂州市,111
荆门市,65
孝感市,96
荆州市,111
黄冈市,35
咸宁市,63
随州市,66
长沙市,356
株洲市,132
湘潭市,87
衡阳市,101
邵阳市,70
岳阳市,110
常徳市,141
张家界市,53
益阳市,136
郴州市,80
永州市,118
怀化市,40
娄底市,62
广州市,928
韶关市,92
深圳市,455
珠海市,127
汕头市,562
佛山市,437
江门市,145
湛江市,168
茂名市,301
肇庆市,144
惠州市,164
梅州市,97
汕尾市,52
河源市,33
阳江市,123
清远市,147
潮州市,169
揭阳市,212
云浮市,69
南宁市,387
柳州市,183
桂林市,132
梧州市,80
北海市,69
防城港市,59
钦州市,152
贵港市,204
玉林市,112
百色市,37
贺州市,122
河池市,102
来宾市,114
崇左市,38
海口市,178
三亚市,61
重庆市,2465
成都市,851
自贡市,148
攀枝花市,65
泸州市,152
德阳市,94
绵阳市,174
广元市,92
遂宁市,147
内江市,140
乐山市,116
南充市,194
眉山市,120
宜宾市,230
广安市,127
达州市,177
雅安市,62
巴中市,136
资阳市,108
贵阳市,259
六盘水市,49
安顺市,131
毕节市,167
铜仁市,50
昆明市,320
曲靖市,141
玉溪市,74
保山市,94
昭通市,94
丽江市,16
普洱市,24
临沧市,33
拉萨市,31
日喀则市,12
昌都市,12
林芝市,5
山南市,6
那曲冇,11
西安市,852
铜川市,71
宝鸡市,139
咸阳市,55
渭南市,95
延安市,67
汉中市,113
榆林市,98
安康市,101
商洛市,56
兰州市,209
金昌市,21
白银市,50
天水市,132
武威市,104
张掖市,51
平凉市,52
酒泉市,41
庆阳市,39
定西市,47
陇南市,57
西宁市,100
海东市,42
银川市,120
石嘴山市,43
吴忠市,41
固原市,47
中卫市,42
乌鲁木齐市,217
克拉玛依市,31
吐鲁番市,29
哈密市,43
辛集市,63.5
晋州市,57.5092
新乐市,51.7278
遵化市,75.8356
迁安市,77.6711
滦州市,57.3876
武安市,84.5819
南宫市,50.6263
沙河市,45.751
涿州市,70.149
定州市,123.7831
安国市,41.0953
高碑店市,56.6698
平泉市,47.9226
泊头市,63.133
任丘市,80.9952
黄骅市,48.2526
河间市,90.2506
霸州市,65.6313
三河市,73.1252
深州市,56.7695
古交市,21.6967
高平市,48.67
怀仁冇,29.2131
介休市,43.8769
永济市,44.2456
河津而,39.965
原平市,51.7082
侯马市,24.0531
霍州市,30.8888
孝义市,49.0816
汾阳市,43.3065
霍林郭勒市,8.3374
满洲里市,17.2371
牙克石市,32.5815
扎兰屯市,40.6596
额尔古纳市,7.9942
根河市,13.3711
丰镇市,31.2643
乌兰浩特市,32.0106
阿尔山市,4.5269
二连浩特市,3.4182
锡林浩特市,19.2164
新民市,66.5647
瓦房店市,98.8588
庄河市,88.8519
海城市,107.12
东港市,59.7876
凤城市,56.4686
凌海市,50.233
北镇市,50.4989
盖州市,68.73
大石桥市,69.0337
灯塔市,43.6065
调兵山市,23.9
开原市,56.0378
北票市,55.8144
凌源市,63.7
兴城市,53.2568
榆树市,122.9647
德惠市,92.56
蛟河市,42.183
桦甸市,42.1509
舒兰市,60.7753
磐石市,50.6427
公主岭市,103.1
双辽市,39.2536
梅河口市,59.1494
集安市,21.169
临江市,15.4241
扶余市,71.0467
洗南市,41.0118
大安市,38.2016
延吉市,55.2786
图们市,11.0436
敦化市,45.6708
玮春市,22.8455
龙井市,15.4043
和龙市,15.8625
尚志市,56.0448
五常市,89.7705
讷河市,68.125
虎林市,15.1486
密山市,39.6504
铁力市,34.6
同江市,10.662
富锦市,37.3438
抚远市,8.3434
绥芬河市,6.9607
海林市,36.5797
宁安市,41.1182
穆棱市,27.1383
东宁市,20.2973
北安市,42.0494
五大连池市,25.9704
安达市,45.0922
肇东市,85.9001
海伦市,75.6616
漠河市,7.0535
江阴市,125.95
宜兴市,108.13
新沂市,113.21
邳州市,194.36
漢阳市,79.04
常熟市,106.8
张家港市,92.94
昆山市,90.32
太仓市,49.4
启东市,111.04
如皋市,141.97
海门市,99.59
海安市,92.73
东台市,109.81
仪征市,56.03
高邮市,80.82
丹阳市,80.63
扬中市,28.25
句容市,58.9
兴化市,155.67
靖江市,65.88
泰兴市,117.88
建德市,51.1184
余姚市,83.6306
慈溪市,105.5702
瑞安市,125.3384
乐清市,130.8933
海宁市,69.7717
平湖市,49.9923
桐乡市,70.1305
诸暨市,108.5367
嵊州市,72.6304
兰溪市,66.0489
义乌市,81.8362
东阳市,84.7814
永康市,61.5227
江山市,61.6388
温岭市,122.1381
临海市,120.49
玉环市,43.5295
龙泉市,29.0836
巢湖市,85.9161
桐城市,75.3768
潜山市,58.3969
天长市,63.2828
明光市,64.4383
界首市,82.9496
宁国市,38.4018
福清市,138.1
永安市,33.1277
石狮市,34.6094
晋江市,117.6303
南安市,171.0899
龙海市,89.7905
邵武市,30.5837
武夷山市,24.5939
建瓯市,55.2806
漳平市,29.7297
福安市,67.387
福鼎市,60.1223
乐平市,94.5178
瑞昌市,46.2733
共青城市,12.2832
庐山市,27.7555
贵溪市,64.724
瑞金市,71.0096
井冈山市,17.0915
丰城市,150.7402
樟树市,61.0424
高安市,87.83
德兴市,33.6375
胶州市,85.8952
平度市,139.1015
莱西市,74.4442
滕州市,175.2006
龙口市,63.5839
莱阳市,85.69
莱州市,84.3617
蓬莱市,40.2643
招远市,56.282
栖霞市,59.3738
海阳市,64.2643
青州市,95.4835
诸城市,111.8684
寿光市,110.311
安丘市,97.5816
高密市,89.6444
昌邑市,58.6788
曲阜市,65.5721
邹城市,121.5566
新泰市,136.9704
肥城市,98.89
荣成市,65.9395
乳山市,54.7486
乐陵市,72.4015
禹城市,54.0994
临清市,83.9083
邹平市,74.4253
巩义市,84.6662
荥阳市,70.8108
新密市,89.5178
新郑市,63.2411
登封市,72.8786
偃师市,63.3069
舞钢市,34.1762
汝州市,117.5602
林州市,113.8833
卫辉市,54.2824
辉县市,90.7808
沁阳市,49.3165
孟州市,38.3344
禹州市,133.3368
长葛市,78.0747
义马市,16.9366
灵宝市,74.674
邓州市,185.5604
永城市,167.4051
项城市,126.5
济源市,72.55
大冶市,99.5248
丹江口市,46.3605
宜都市,38.8332
当阳市,46.6615
枝江市,48.6139
老河口市,51.5492
枣阳市,113.24
宜城市,55.9819
钟祥市,104.9176
京山市,77.552
应城市,65.192
安陆市,62.914
汉川市,107.8115
石首市,62.3405
洪湖市,91.8206
松滋市,82.959
麻城市,115.93
武穴市,82.3436
赤壁市,53.3057
广水市,92.0722
恩施市,80.8967
利川市,91.7097
仙桃市,154.2975
潜江市,100.847
天门市,160.9212
浏阳市,149.377
宁乡市,143.0937
湘乡市,92.8302
韶山市,11.9843
耒阳市,14.21656
常宁市,96.214
武冈市,83.9678
汨罗市,76.1324
临湘市,54.2359
津市市,23.3414
沅江市,73.5647
资兴市,37.7258
洪江市,49.8563
冷水江市,36.8497
涟源市,114.5884
吉首市,31.1601
乐昌市,52.9931
南雄市,49.2227
台山市,97.066
开平市,68.8893
鹤山市,37.9099
恩平市,50.0004
廉江市,184.5402
雷州市,184.0539
吴川市,121.9623
高州市,183.2727
化州市,176.7052
信宜市,149.3026
四会市,47.1485
兴宁市,118.3154
陆丰市,190.5103
阳春市,122.0075
英德市,118.4555
连州市,54.6483
普宁市,247.4422
罗定市,129.2822
荔浦市,38.4345
岑溪市,96.7921
东兴市,15.3811
桂平市,203.4209
北流市,153.6386
靖西市,66.2877
合山市,13.5032
凭祥市,11.6084
五指山市,10.5919
琼海市,51.9291
文昌市,60.0644
万宁市,63.2716
东方市,45.6295
都江堰市,62.2233
彭州市,80.2446
邛峡市,65.4661
崇州市,66.2809
简阳市,214.8434
广汉市,60.3823
什郝市,42.8199
绵竹市,49.9535
江油市,86.4903
隆昌市,77.0024
峨眉山市,42.9044
阊中市,82.9992
华签市,35.6691
万源市,57.3569
马尔康市,5.4162
康定市,10.7563
西昌市,67.8738
清镇市,53.8282
盘州市,128.6625
赤水市,31.832
仁怀市,72.5
兴义市,89.3648
兴仁市,56.8674
凯里市,57.3711
都匀市,50.437
福泉市,33.7908
安宁市,27.9729
宣威市,154.8585
腾冲市,68.6197
水富市,10.7486
楚雄市,53.5986
个旧市,38.1794
开远市,28.6386
蒙自市,42.467
弥勒市,54.78
文山市,50.7557
景洪市,42.9848
大理市,63.5667
瑞函市,13.9225
芒市,40.0458
泸水市,18.5879
香格里拉市,15.0988
兴平市,55.6088
彬州市,36.4039
韩城市,39.702
华阴市,24.2959
神木市,45.1545
华亭市,19.0706
玉门市,14.8426
敦煌市,14.4124
临夏市,27.4008
合作市,9.3361
玉树市,11.4
格尔木市,13.7711
德令哈市,7.3707
茫崖市,5.1494
灵武市,24.836
青铜峡市,28.3447
昌吉市,38.7977
阜康市,16.3961
博乐市,26.0314
阿拉山口市,0.1878
库尔勒市,47.2645
阿克苏市,55.1112
阿图什市,28.5507
喀什市,65.15
和田市,40.8894
伊宁市,57.1122
奎屯市,15.47
霍尔果斯市,6.4821
塔城而,14.7977
乌苏市,21.6381
阿勒泰市,19.7056
石河子市,45.1219
阿拉尔市,26.5
图木舒克市,17.3701
五家渠市,9.6788
北屯市,5.3053
铁门关市,3.8436
